"word","id","nature","index_word","frequency"
"确认",2,"v",32,30
"三包",2,"m",3,187
"身临其境",2,"i",24,3
"升级",2,"vn",37,23
"生活",2,"vn",42,246
"时",2,"n",4,161
"时",2,"n",23,161
"式",2,"k",27,3
"是否是",2,"l",35,15
"无效",2,"a",40,5
"系统",2,"n",33,40
"细节",2,"n",15,23
"延伸",2,"v",20,3
"正品",2,"n",2,213
"质量检查",2,"n",5,147
"最新",2,"d",36,22
"不便",3,"c",2,41
"带来",3,"v",1,90
"访问",3,"v",5,158
"更好",3,"d",3,58
"供应商",3,"n",6,135
"解答",3,"v",4,48
"生活",3,"vn",8,246
"详细",3,"ad",7,192
"本店",4,"n",3,55
"标准",4,"n",30,18
"拨打",4,"v",17,10
"不断加强",4,"i",36,27
"不断完善",4,"l",42,24
"不好",4,"d",1,74
"不紧",4,"x",49,1
"拆封",4,"v",8,134
"厂家",4,"n",14,25
"电话",4,"n",22,39
"店",4,"n",5,57
"非常重视",4,"l",33,20
"该款",4,"r",13,23
"更好",4,"d",44,58
"购物",4,"n",45,123
"购物",4,"n",2,123
"后盖盖",4,"x",48,1
"环节",4,"n",40,20
"介绍",4,"v",26,52
"客户",4,"n",20,15
"培训",4,"vn",35,41
"全国",4,"n",18,7
"全新",4,"d",9,137
"三包",4,"m",11,187
"色彩",4,"n",46,17
"商品",4,"n",25,102
"上门",4,"ns",16,37
"师傅",4,"nr",34,32
"收费",4,"n",29,46
"水平",4,"n",39,43
"所售",4,"v",6,55
"提供",4,"v",43,79
"提供",4,"v",31,79
"提供",4,"v",15,79
"提升",4,"v",38,48
"统一",4,"vn",19,8
"未",4,"d",7,139
"下方",4,"f",28,32
"信息",4,"n",32,20
"选购",4,"v",12,21
"遥控器",4,"n",47,46
"页面",4,"n",27,65
"意识",4,"n",37,27
"预约",4,"v",21,47
"正品",4,"n",4,213
"正品",4,"n",10,213
"中",4,"f",41,135
"周日",4,"t",24,7
"周一",4,"t",23,7
"不断加强",5,"i",30,27
"查看",5,"v",25,49
"拆封",5,"v",3,134
"电子",5,"n",18,4
"电子",5,"n",16,4
"订单",5,"n",20,47
"订单",5,"n",23,47
"发票",5,"n",27,15
"发票",5,"n",19,15
"发票",5,"n",17,15
"更好",5,"d",35,58
"购物",5,"n",36,123
"国家",5,"n",12,10
"环保",5,"j",13,1
"技术",5,"n",37,42
"开具",5,"v",22,4
"流程",5,"n",8,147
"培训",5,"vn",29,41
"品质",5,"n",10,148
"启用",5,"v",15,1
"全新",5,"d",1,137
"确保",5,"v",9,154
"三包",5,"m",5,187
"审核",5,"v",28,1
"生活",5,"vn",38,246
"时",5,"n",6,161
"水平",5,"n",33,43
"提供",5,"v",34,79
"提升",5,"v",32,48
"未",5,"d",2,139
"详情",5,"a",24,5
"响应",5,"v",11,1
"小时",5,"n",21,3
"意识",5,"n",31,27
"增值税",5,"n",26,1
"正品",5,"n",4,213
"政策",5,"n",14,9
"质量检查",5,"n",7,147
"拆封",6,"v",3,134
"导致",6,"v",12,20
"非人",6,"b",11,5
"工程师",6,"n",14,19
"检测",6,"vn",15,32
"流程",6,"n",8,147
"品质",6,"n",10,148
"权益",6,"n",21,25
"全新",6,"d",1,137
"确保",6,"v",9,154
"三包",6,"m",5,187
"三包",6,"m",17,187
"生活",6,"vn",23,246
"时",6,"n",6,161
"售后",6,"n",19,106
"售后",6,"n",20,106
"完善",6,"v",18,35
"为准",6,"v",16,30
"未",6,"d",2,139
"详细",6,"ad",22,192
"正品",6,"n",4,213
"质量",6,"n",13,78
"质量检查",6,"n",7,147
"本店",7,"n",3,55
"不断加强",7,"i",17,27
"不断完善",7,"l",24,24
"不好",7,"d",1,74
"拆封",7,"v",8,134
"店",7,"n",5,57
"访问",7,"v",29,158
"更好",7,"d",26,58
"供应商",7,"n",30,135
"购物",7,"n",2,123
"购物",7,"n",27,123
"环节",7,"n",22,20
"流程",7,"n",14,147
"配",7,"v",21,1
"品质",7,"n",16,148
"全新",7,"d",9,137
"确保",7,"v",15,154
"三包",7,"m",11,187
"生活",7,"vn",32,246
"时",7,"n",12,161
"水平",7,"n",20,43
"所售",7,"v",6,55
"提供",7,"v",25,79
"提升",7,"v",19,48
"未",7,"d",7,139
"详细",7,"ad",31,192
"意识",7,"n",18,27
"正品",7,"n",10,213
"正品",7,"n",4,213
"质量检查",7,"n",13,147
"中",7,"f",28,135
"中",7,"f",23,135
"不行",8,"v",7,7
"不好",8,"d",2,74
"蓝屏",8,"x",4,4
"屏坏",8,"x",5,2
"屏幕",8,"n",3,42
"售后",8,"n",6,106
"太慢",8,"a",8,2
"质量",8,"n",1,78
"不便",9,"c",2,41
"带来",9,"v",1,90
"功放",9,"l",20,2
"后期",9,"t",23,49
"技术",9,"n",21,42
"家庭",9,"n",18,2
"理解",9,"v",25,29
"连接",9,"v",14,21
"流程",9,"n",7,147
"品质",9,"n",9,148
"屏",9,"n",11,12
"确保",9,"v",8,154
"三包",9,"m",4,187
"生活",9,"vn",26,246
"声音",9,"n",17,5
"时",9,"n",5,161
"输出",9,"v",13,10
"输出",9,"v",16,10
"数字音频",9,"n",12,2
"外设",9,"vn",15,3
"音响",9,"n",19,6
"音响设备",9,"n",22,2
"英寸",9,"n",10,1
"正品",9,"n",3,213
"质量检查",9,"n",6,147
"中有",9,"x",24,18
"拆开",10,"v",2,2
"开具",10,"v",3,4
"目无法纪",10,"i",4,1
"票",10,"n",1,1
"放",11,"v",2,2
"轻轻",11,"d",1,2
"碎",11,"a",4,3
"太差",11,"n",6,21
"质量",11,"n",5,78
"桌面",11,"n",3,1
"刚买",12,"x",2,11
"高",12,"a",6,9
"间隙",12,"n",9,1
"降价",12,"n",3,36
"壳体",12,"n",8,1
"屏",12,"n",7,12
"清晰度",12,"n",5,12
"太大",12,"ns",10,1
"下次",12,"t",1,1
"质量",12,"n",4,78
"不到",13,"v",12,9
"不停",13,"d",6,3
"差",13,"a",1,19
"店",13,"n",16,57
"个人信息",13,"n",17,2
"个人信息",13,"n",10,2
"两",13,"m",2,1
"螺丝",13,"n",3,5
"卖出去",13,"v",18,1
"收费",13,"n",4,46
"所以然",13,"i",14,1
"太坑",13,"x",5,3
"推销",13,"v",7,2
"问个",13,"x",13,1
"物流",13,"n",15,9
"泄露",13,"v",9,2
"延保",13,"x",8,1
"找",13,"v",11,16
"材料",14,"n",2,19
"挂墙",14,"x",1,3
"贵",14,"a",5,5
"回来",14,"v",3,4
"加钱",14,"v",4,1
"亏了",14,"v",6,1
"售后",14,"n",7,106
"太差",14,"n",8,21
"电话",15,"n",6,39
"接通",15,"v",7,1
"两天",15,"m",5,4
"配送",15,"v",1,27
"确认",15,"v",9,30
"人员",15,"n",2,26
"人员",15,"n",8,26
"收货",15,"n",10,6
"送货",15,"v",3,15
"找",15,"v",4,16
"不行",16,"v",2,7
"清晰度",16,"n",1,12
"版本",17,"n",17,25
"不好",17,"d",2,74
"操作",17,"v",19,10
"拆封",17,"v",6,134
"带来",17,"v",1,90
"购物",17,"n",3,123
"流程",17,"n",11,147
"品质",17,"n",13,148
"全新",17,"d",4,137
"确保",17,"v",12,154
"三包",17,"m",8,187
"生活",17,"vn",22,246
"时",17,"n",9,161
"未",17,"d",5,139
"稳定",17,"a",16,2
"系统",17,"n",18,40
"系统升级",17,"n",14,1
"依然",17,"d",20,7
"异常",17,"d",21,6
"正品",17,"n",7,213
"质量检查",17,"n",10,147
"最新",17,"d",15,22
"包装",18,"v",28,21
"备货",18,"n",16,1
"变化",18,"vn",43,14
"波动",18,"vn",38,14
"不断完善",18,"l",32,24
"参加",18,"v",9,6
"促销",18,"v",42,15
"促销",18,"v",5,15
"带来",18,"v",24,90
"到货",18,"v",1,8
"发货",18,"n",12,35
"访问",18,"v",46,158
"改善",18,"v",22,21
"更多人",18,"x",17,4
"更好",18,"d",34,58
"购买",18,"v",18,35
"购物",18,"n",35,123
"后期",18,"t",44,49
"环节",18,"n",30,20
"活动",18,"vn",10,27
"火爆",18,"a",6,2
"积极主动",18,"n",21,2
"价格",18,"n",36,44
"降价",18,"n",41,36
"捷",18,"ns",25,7
"客户",18,"n",7,15
"理解",18,"v",15,29
"每日",18,"r",39,4
"努力争取",18,"nr",23,7
"配送",18,"v",29,27
"人数",18,"n",11,1
"任务艰巨",18,"i",14,1
"生产",18,"vn",27,4
"生活",18,"vn",48,246
"生气",18,"n",4,3
"时间",18,"n",2,19
"时间",18,"n",13,19
"市场",18,"n",37,14
"提供",18,"v",33,79
"物流配送",18,"n",20,6
"详细",18,"ad",47,192
"需求",18,"v",19,24
"需求量",18,"n",8,1
"优质",18,"n",26,8
"涨价",18,"n",40,14
"真的",18,"d",3,24
"中",18,"f",45,135
"中",18,"f",31,135
"拆封",19,"v",3,134
"访问",19,"v",12,158
"供应商",19,"n",13,135
"流程",19,"n",8,147
"品质",19,"n",10,148
"全新",19,"d",1,137
"确保",19,"v",9,154
"三包",19,"m",5,187
"生活",19,"vn",15,246
"时",19,"n",6,161
"未",19,"d",2,139
"详细",19,"ad",14,192
"正品",19,"n",4,213
"质量检查",19,"n",7,147
"中",19,"f",11,135
"差评",20,"x",4,37
"电话",20,"n",2,39
"互相推诿",20,"l",3,1
"支架",20,"n",1,3
"爱奇",21,"x",10,1
"爱奇艺",21,"x",5,8
"拨打",21,"v",30,10
"不便",21,"c",17,41
"拆封",21,"v",21,134
"厂家",21,"n",27,25
"带来",21,"v",16,90
"电话",21,"n",35,39
"购买",21,"v",7,35
"国家",21,"n",25,10
"机",21,"n",3,10
"解答",21,"v",38,48
"界面",21,"n",8,19
"可靠",21,"v",24,14
"客户",21,"n",33,15
"捆绑",21,"v",14,2
"全国",21,"n",31,7
"全新",21,"d",19,137
"软件",21,"n",6,20
"三包",21,"m",26,187
"上门",21,"ns",29,37
"生活",21,"vn",39,246
"授权",21,"v",18,10
"套路",21,"n",1,4
"提供",21,"v",28,79
"提示",21,"v",9,3
"统一",21,"vn",32,8
"未",21,"d",20,139
"误导",21,"n",12,1
"消费",21,"vn",15,1
"消费者",21,"n",13,4
"销售",21,"vn",2,8
"艺版",21,"x",11,1
"预约",21,"v",34,47
"正品",21,"n",22,213
"质量",21,"n",23,78
"周日",21,"t",37,7
"周一",21,"t",36,7
"自带",21,"n",4,2
"听说",22,"v",1,1
"查看",23,"v",18,49
"大部分",23,"m",10,6
"访问",23,"v",25,158
"付费",23,"v",15,11
"购买",23,"v",21,35
"观看",23,"v",12,33
"观看",23,"v",17,33
"后期",23,"t",23,49
"会员",23,"n",22,36
"会员",23,"n",16,36
"流程",23,"n",5,147
"免费",23,"vn",11,9
"内置",23,"n",8,6
"品质",23,"n",7,148
"情况",23,"n",19,22
"确保",23,"v",6,154
"三包",23,"m",2,187
"生活",23,"vn",27,246
"时",23,"n",3,161
"详细",23,"ad",26,192
"需求",23,"v",13,24
"选择",23,"v",20,40
"正品",23,"n",1,213
"质量检查",23,"n",4,147
"中",23,"f",24,135
"资源",23,"n",9,21
"资源",23,"n",14,21
"会员",24,"n",1,36
"本店",25,"n",4,55
"标准",25,"n",28,18
"不好",25,"d",2,74
"采用",25,"v",41,9
"查看",25,"v",51,49
"拆封",25,"v",9,134
"厂家",25,"n",20,25
"承担",25,"v",48,8
"单独",25,"d",31,2
"底座",25,"n",38,9
"底座",25,"n",29,9
"店",25,"n",6,57
"法律责任",25,"n",49,6
"访问",25,"v",54,158
"非",25,"h",42,9
"费及",25,"x",33,1
"费用",25,"n",35,5
"该款",25,"r",19,23
"公司",25,"n",47,22
"供应商",25,"n",55,135
"购物",25,"n",3,123
"挂架",25,"v",39,25
"挂架",25,"v",44,25
"挂架",25,"v",30,25
"挂架",25,"v",34,25
"后期",25,"t",52,49
"介绍",25,"v",24,52
"流程",25,"n",15,147
"品牌",25,"n",37,9
"品质",25,"n",17,148
"全新",25,"d",10,137
"确保",25,"v",16,154
"人员",25,"n",36,26
"三包",25,"m",12,187
"商品",25,"n",23,102
"上门",25,"ns",22,37
"生活",25,"vn",57,246
"时",25,"n",13,161
"事故",25,"n",46,6
"收费",25,"n",27,46
"收取",25,"v",32,5
"所售",25,"v",7,55
"提供",25,"v",40,79
"提供",25,"v",21,79
"未",25,"d",8,139
"下方",25,"f",26,32
"详细",25,"ad",56,192
"选购",25,"v",18,21
"页面",25,"n",25,65
"原装",25,"n",43,6
"仔细",25,"ad",50,23
"真的",25,"d",1,24
"正品",25,"n",5,213
"正品",25,"n",11,213
"质量检查",25,"n",14,147
"中",25,"f",53,135
"自行",25,"r",45,8
"不好",26,"d",9,74
"尺寸",26,"n",1,2
"搭配",26,"v",13,5
"负分",26,"n",8,1
"高质量",26,"n",14,1
"供应商",26,"n",27,135
"购物",26,"n",10,123
"好像",26,"v",2,2
"画质",26,"n",15,13
"回复",26,"v",25,31
"会为",26,"x",29,43
"机都",26,"x",19,1
"机关",26,"n",18,1
"解答",26,"v",26,48
"解决",26,"v",23,48
"开",26,"v",17,11
"屏",26,"n",11,12
"曲面",26,"n",3,5
"设计",26,"vn",12,21
"生活",26,"vn",30,246
"四星",26,"nz",7,1
"送货",26,"v",6,15
"详细",26,"ad",28,192
"详细",26,"ad",21,192
"一塌糊涂",26,"i",5,1
"意义",26,"n",4,2
"音质",26,"n",16,4
"针对性",26,"n",24,22
"震撼",26,"v",20,2
"状况",26,"n",22,19
"帮",27,"v",13,8
"滴",27,"v",1,5
"发票",27,"n",7,15
"访问",27,"v",22,158
"放心",27,"v",15,11
"检测",27,"vn",11,32
"解决",27,"v",21,48
"解决",27,"v",14,48
"尽力",27,"d",12,6
"权益",27,"n",20,25
"全新",27,"d",4,137
"三包",27,"m",6,187
"申请",27,"v",9,17
"生活",27,"vn",24,246
"售后",27,"n",10,106
"售后",27,"n",19,106
"售后",27,"n",17,106
"完善",27,"v",16,35
"详细",27,"ad",23,192
"销售",27,"vn",3,8
"协助",27,"v",8,6
"咱家",27,"r",2,3
"正品",27,"n",5,213
"政策",27,"n",18,9
"保价",28,"n",3,4
"便宜",28,"a",19,16
"便宜",28,"a",2,16
"操作",28,"v",38,10
"查看",28,"v",62,49
"差评",28,"x",17,37
"差评",28,"x",15,37
"拆封",28,"v",25,134
"超过",28,"v",12,1
"第一次",28,"m",22,9
"点击",28,"v",65,9
"点击",28,"v",41,9
"电源",28,"n",42,18
"电源",28,"n",63,18
"电源",28,"n",66,18
"电源",28,"n",50,18
"电源",28,"n",57,18
"电源",28,"n",47,18
"东西",28,"ns",11,16
"东西",28,"ns",18,16
"断电",28,"n",39,3
"恶心",28,"n",21,1
"方法",28,"n",37,16
"访问",28,"v",75,158
"供应商",28,"n",76,135
"好像",28,"v",9,2
"机界面",28,"n",70,5
"机界面",28,"n",36,5
"检测",28,"vn",61,32
"键",28,"n",64,14
"键",28,"n",51,14
"键",28,"n",58,14
"键后",28,"x",67,6
"键后",28,"x",43,6
"键及",28,"x",48,3
"卡",28,"n",34,5
"卡",28,"n",68,5
"开",28,"v",35,11
"开",28,"v",69,11
"开机",28,"n",52,32
"开机",28,"n",54,32
"开机",28,"n",59,32
"开机",28,"n",33,32
"流程",28,"n",30,147
"麻烦",28,"an",7,5
"没什么",28,"l",10,2
"秒杀",28,"n",5,1
"年",28,"m",13,2
"排查",28,"vn",55,19
"品质",28,"n",32,148
"屏幕",28,"n",44,42
"清除",28,"v",71,3
"全新",28,"d",23,137
"确保",28,"v",31,154
"三包",28,"m",27,187
"生活",28,"vn",78,246
"时",28,"n",28,161
"售后",28,"n",60,106
"数据",28,"n",72,7
"双十",28,"m",1,4
"太",28,"d",20,21
"太",28,"d",6,21
"天",28,"q",4,3
"退",28,"v",8,6
"唯一",28,"b",16,3
"未",28,"d",24,139
"显示",28,"v",45,32
"详细",28,"ad",77,192
"遥控器",28,"n",53,46
"遥控器",28,"n",56,46
"遥控器",28,"n",46,46
"一口气",28,"i",14,1
"正品",28,"n",26,213
"质量检查",28,"n",29,147
"中",28,"f",74,135
"重启",28,"v",40,15
"重启",28,"v",73,15
"主机",28,"b",49,7
"包括",29,"v",20,7
"播放",29,"v",34,20
"不便",29,"c",2,41
"拆封",29,"v",5,134
"带来",29,"v",1,90
"方法",29,"n",17,16
"访问",29,"v",57,158
"分辨率",29,"n",40,18
"分辨率",29,"n",55,18
"更换",29,"v",44,13
"供应商",29,"n",58,135
"观看",29,"v",13,33
"画面",29,"n",49,50
"画面",29,"n",14,50
"画面",29,"n",36,50
"画面质量",29,"n",42,6
"机顶盒",29,"n",52,13
"机顶盒",29,"n",47,13
"检测",29,"vn",30,32
"检查",29,"vn",51,8
"较差",29,"a",43,6
"界面",29,"n",48,19
"界面",29,"n",19,19
"界面",29,"n",24,19
"流程",29,"n",10,147
"模糊",29,"a",25,27
"模糊",29,"a",15,27
"模糊",29,"a",50,27
"模糊",29,"a",32,27
"模糊",29,"a",37,27
"排查",29,"vn",18,19
"片源",29,"n",45,28
"品质",29,"n",12,148
"切换",29,"v",38,12
"切换",29,"v",46,12
"清晰",29,"a",16,29
"全新",29,"d",3,137
"确保",29,"v",11,154
"软件",29,"n",23,20
"三包",29,"m",7,187
"设置",29,"vn",53,19
"申请",29,"v",28,17
"升级",29,"vn",26,23
"生活",29,"vn",60,246
"时",29,"n",8,161
"视频",29,"n",41,21
"视频",29,"n",39,21
"视频",29,"n",35,21
"售后",29,"n",29,106
"输出",29,"v",54,10
"图像",29,"n",22,16
"未",29,"d",4,139
"系统",29,"n",27,40
"详细",29,"ad",59,192
"页面",29,"n",33,65
"页面",29,"n",31,65
"正品",29,"n",6,213
"质量检查",29,"n",9,147
"中",29,"f",56,135
"字体",29,"n",21,4
"本店",30,"n",23,55
"标准",30,"n",42,18
"不好",30,"d",21,74
"不乐意",30,"i",19,1
"采用",30,"v",55,9
"查看",30,"v",65,49
"差",30,"a",16,19
"差评",30,"x",75,37
"差评",30,"x",77,37
"差评",30,"x",3,37
"拆封",30,"v",28,134
"厂家",30,"n",34,25
"超级",30,"b",15,5
"超级",30,"b",2,5
"承担",30,"v",62,8
"底座",30,"n",53,9
"店",30,"n",25,57
"法律责任",30,"n",63,6
"非",30,"h",56,9
"付费",30,"v",7,11
"该款",30,"r",33,23
"刚买",30,"x",67,11
"工程师",30,"n",47,19
"公司",30,"n",61,22
"购物",30,"n",22,123
"挂",30,"v",8,4
"挂架",30,"v",58,25
"挂架",30,"v",43,25
"挂架",30,"v",54,25
"好好",30,"d",5,2
"坏",30,"a",69,8
"会为",30,"x",66,43
"集团",30,"n",4,1
"家里",30,"s",70,4
"介绍",30,"v",38,52
"快递",30,"v",81,12
"老人",30,"n",71,2
"麻烦",30,"an",72,5
"没得",30,"v",17,2
"明细",30,"ad",41,25
"品牌",30,"n",52,9
"评估",30,"vn",46,5
"墙体",30,"n",45,5
"全新",30,"d",29,137
"确认",30,"v",48,30
"人品",30,"n",14,1
"人员",30,"n",51,26
"三包",30,"m",31,187
"商品",30,"n",37,102
"上门",30,"ns",36,37
"身上",30,"s",11,1
"师傅",30,"nr",1,32
"施工",30,"vn",49,10
"施工",30,"vn",44,10
"事故",30,"n",60,6
"送",30,"v",79,19
"所售",30,"v",26,55
"提供",30,"v",35,79
"条件",30,"n",50,5
"挺烦",30,"x",74,1
"外快",30,"v",13,1
"未",30,"d",27,139
"下方",30,"f",40,32
"下午",30,"t",68,3
"想",30,"v",10,15
"选购",30,"v",32,21
"页面",30,"n",39,65
"一星",30,"x",80,7
"原装",30,"n",57,6
"仔细",30,"ad",64,23
"赠品",30,"n",78,3
"真的",30,"d",73,24
"整顿",30,"m",6,1
"正品",30,"n",24,213
"正品",30,"n",30,213
"中",30,"f",76,135
"赚",30,"v",12,2
"赚",30,"v",18,2
"装",30,"v",9,6
"自行",30,"r",59,8
"做",30,"v",20,7
"帮",31,"v",43,8
"本店",31,"n",24,55
"不错",31,"a",1,8
"不好",31,"d",11,74
"拆封",31,"v",29,134
"店",31,"n",26,57
"访问",31,"v",52,158
"放心",31,"v",45,11
"改善",31,"v",15,21
"更好",31,"d",22,58
"购物",31,"n",12,123
"购物",31,"n",23,123
"广告",31,"n",5,24
"广告",31,"n",8,24
"家",31,"q",10,2
"检测",31,"vn",41,32
"解决",31,"v",44,48
"解决",31,"v",51,48
"尽力",31,"d",42,6
"开机",31,"n",2,32
"烂",31,"v",9,2
"力求",31,"n",20,17
"流程",31,"n",35,147
"秒",31,"m",7,4
"秒",31,"m",4,4
"培训",31,"vn",14,41
"培训",31,"vn",17,41
"品质",31,"n",37,148
"屏保",31,"nz",6,1
"权益",31,"n",50,25
"全新",31,"d",30,137
"确保",31,"v",36,154
"人员",31,"n",13,26
"三包",31,"m",32,187
"申请",31,"v",39,17
"生活",31,"vn",54,246
"时",31,"n",33,161
"售后",31,"n",47,106
"售后",31,"n",49,106
"售后",31,"n",40,106
"水平",31,"n",19,43
"所售",31,"v",27,55
"提供",31,"v",21,79
"提升",31,"v",18,48
"完善",31,"v",46,35
"未",31,"d",28,139
"先来",31,"t",3,1
"详细",31,"ad",53,192
"协助",31,"v",38,6
"员工",31,"n",16,14
"正品",31,"n",25,213
"正品",31,"n",31,213
"政策",31,"n",48,9
"质量检查",31,"n",34,147
"本店",32,"n",3,55
"不好",32,"d",1,74
"拆封",32,"v",8,134
"店",32,"n",5,57
"供应商",32,"n",23,135
"购物",32,"n",2,123
"回复",32,"v",21,31
"会为",32,"x",25,43
"解答",32,"v",22,48
"解决",32,"v",19,48
"流程",32,"n",14,147
"品质",32,"n",16,148
"全新",32,"d",9,137
"确保",32,"v",15,154
"三包",32,"m",11,187
"生活",32,"vn",26,246
"时",32,"n",12,161
"所售",32,"v",6,55
"未",32,"d",7,139
"详细",32,"ad",24,192
"详细",32,"ad",17,192
"针对性",32,"n",20,22
"正品",32,"n",10,213
"正品",32,"n",4,213
"质量检查",32,"n",13,147
"状况",32,"n",18,19
"本店",33,"n",3,55
"不好",33,"d",1,74
"拆封",33,"v",8,134
"店",33,"n",5,57
"告知",33,"v",19,14
"购物",33,"n",2,123
"回复",33,"v",21,31
"会为",33,"x",23,43
"解答",33,"v",22,48
"流程",33,"n",14,147
"品质",33,"n",16,148
"全新",33,"d",9,137
"确保",33,"v",15,154
"三包",33,"m",11,187
"生活",33,"vn",24,246
"时",33,"n",12,161
"所售",33,"v",6,55
"未",33,"d",7,139
"详细描述",33,"n",18,13
"针对性",33,"n",20,22
"正品",33,"n",10,213
"正品",33,"n",4,213
"质量检查",33,"n",13,147
"中",33,"f",17,135
"保护",34,"v",36,5
"比价",34,"n",19,1
"不错",34,"a",31,8
"到手",34,"d",7,2
"订单",34,"n",22,47
"非",34,"h",15,9
"刚买",34,"x",4,11
"后悔",34,"v",32,8
"价保",34,"x",13,4
"价格",34,"n",35,44
"价格",34,"n",27,44
"降价",34,"n",5,36
"两周",34,"m",10,1
"满意",34,"v",3,12
"没用",34,"v",29,3
"明摆着",34,"l",28,1
"入手",34,"v",33,1
"失望",34,"v",30,4
"说好",34,"v",12,5
"算",34,"v",20,3
"太深",34,"x",38,2
"太深",34,"x",2,2
"太早",34,"x",34,1
"套路",34,"n",1,4
"套路",34,"n",37,4
"天",34,"q",14,3
"同事",34,"n",6,2
"同事",34,"n",24,2
"同一个",34,"b",16,3
"下单",34,"n",26,8
"下单",34,"n",18,8
"一千",34,"m",11,1
"一千六",34,"m",8,1
"优惠券",34,"n",21,2
"早",34,"a",9,12
"占用",34,"v",23,1
"账号",34,"n",17,8
"账号",34,"n",25,8
"保证",35,"v",8,9
"不便",35,"c",7,41
"查看",35,"v",18,49
"带来",35,"v",6,90
"电源线",35,"n",1,1
"多要",35,"x",4,1
"访问",35,"v",19,158
"供应商",35,"n",20,135
"核实",35,"n",17,16
"会员",35,"n",5,36
"介绍",35,"v",13,52
"明细",35,"ad",16,25
"商品",35,"n",12,102
"生活",35,"vn",22,246
"售后",35,"n",9,106
"送",35,"v",3,19
"太短",35,"n",2,1
"调试",35,"vn",11,12
"网点",35,"n",10,9
"下方",35,"f",15,32
"详细",35,"ad",21,192
"页面",35,"n",14,65
"供应商",36,"n",13,135
"光纤",36,"n",9,1
"技术",36,"n",12,42
"流程",36,"n",5,147
"品质",36,"n",7,148
"屏",36,"n",8,12
"确保",36,"v",6,154
"三包",36,"m",2,187
"生活",36,"vn",15,246
"时",36,"n",3,161
"输出",36,"v",11,10
"详细",36,"ad",14,192
"音频",36,"n",10,2
"正品",36,"n",1,213
"质量检查",36,"n",4,147
"包装",37,"v",6,21
"不便",37,"c",2,41
"带来",37,"v",1,90
"订单",37,"n",4,47
"发货",37,"n",9,35
"发货",37,"n",3,35
"访问",37,"v",13,158
"购买",37,"v",12,35
"清单",37,"a",7,15
"生活",37,"vn",14,246
"收到",37,"v",10,19
"详情",37,"a",5,5
"信息",37,"n",8,20
"状况",37,"n",11,19
"不送",38,"x",2,3
"会员",38,"n",7,36
"会员",38,"n",5,36
"交",38,"v",9,2
"交",38,"v",6,2
"交了",38,"x",4,1
"收费",38,"n",3,46
"送",38,"v",1,19
"统一",38,"vn",8,8
"卖家",39,"n",1,1
"太差",39,"n",2,21
"本店",40,"n",10,55
"毕现",40,"v",31,5
